attribute_type,attribute_type_copy
activa,active
alternative-name,alternative-name
alternative-name@wikidata,alternative-name@wikidata
baptizado,baptized
baptizado@wikidata,baptized@wikidata
bibliografia,bibliography
cargo,position
chegada,arrival
chegada@wikidata,arrival@wikidata
dehergne,dehergne
dehergne@archive,dehergne@archive
ec,*ec
embarque,embarkation
embarque@wikidata,embarkation@wikidata
estadia,stay
estadia-x,stay-x
estadia-x@wikidata,stay-x@wikidata
estadia@wikidata,stay@wikidata
estatuto,status
geoentity:name@dehergne,geoentity:name@dehergne
geoentity:name@geonames,geoentity:name@geonames
geoentity:name@wikidata,geoentity:name@wikidata
grau-academico,academic-degree
grau-academico-x,academic-degree-x
historical-source:id@dehergne,historical-source:id@dehergne
idade,age
jesuita-cargo,jesuit-role
jesuita-entrada,jesuit-entry
jesuita-entrada@wikidata,jesuit-entry@wikidata
"jesuita-entradaLisboa, Arroios","*jesuita-entradaLisboa, Arroios"
jesuita-estatuto,jesuit-status
jesuita-fundador,jesuit-founder
jesuita-fundador@wikidata,jesuit-founder@wikidata
jesuita-ordenacao-padre,jesuit-ordination-priest
jesuita-ordenacao-padre@wikidata,jesuit-ordination-priest@wikidata
jesuita-tarefa,jesuit-task
jesuita-tarefa-x,jesuit-task-x
jesuita-votos,jesuit-vows
jesuita-votos-local,jesuit-vows-location
jesuita-votos-local@wikidata,jesuit-vows-location@wikidata
morte,death
morte@wikidata,death@wikidata
nacionalidade,nationality
nacionalidade@wikidata,nationality@wikidata
nascimento,birth
nascimento@wikidata,birth@wikidata
nome,name
nome-chines,name-chinese
nome-japones,name-japanese
nota,note
nota@wikidata,note@wikidata
note,note
partida,departure
partida-x,departure-x
partida-x@wikidata,departure-x@wikidata
partida@wikidata,departure@wikidata
person:id@bdcconline,person:id@bdcconline
profissao,profession
pseudonimo,pseudonym
residencia,residence
residencia-missao,residence-mission
residencia-missão,residence-mission
residencia@wikidata,residence@wikidata
residência,residence
residência@wikidata,residence@wikidata
tarefa,task
titulo,title
todo,*todo
trajeto,route
trajeto@wikidata,route@wikidata
wicky,wicky
wicky-viagem,wicky-trip
