attribute_type,attribute_type_copy
activa,activa
alternative-name,alternative-name
alternative-name@wikidata,alternative-name@wikidata
baptizado,baptizado
baptizado@wikidata,baptizado@wikidata
bibliografia,bibliografia
cargo,cargo
chegada,chegada
chegada@wikidata,chegada@wikidata
dehergne,dehergne
dehergne@archive,dehergne@archive
ec,ec
embarque,embarque
embarque@wikidata,embarque@wikidata
estadia,estadia
estadia-x,estadia-x
estadia-x@wikidata,estadia-x@wikidata
estadia@wikidata,estadia@wikidata
estatuto,estatuto
geoentity:name@dehergne,geoentity:name@dehergne
geoentity:name@geonames,geoentity:name@geonames
geoentity:name@wikidata,geoentity:name@wikidata
grau-academico,grau-academico
grau-academico-x,grau-academico-x
historical-source:id@dehergne,historical-source:id@dehergne
idade,idade
jesuita-cargo,jesuita-cargo
jesuita-entrada,jesuita-entrada
jesuita-entrada@wikidata,jesuita-entrada@wikidata
"jesuita-entradaLisboa, Arroios","jesuita-entradaLisboa, Arroios"
jesuita-estatuto,jesuita-estatuto
jesuita-fundador,jesuita-fundador
jesuita-fundador@wikidata,jesuita-fundador@wikidata
jesuita-ordenacao-padre,jesuita-ordenacao-padre
jesuita-ordenacao-padre@wikidata,jesuita-ordenacao-padre@wikidata
jesuita-tarefa,jesuita-tarefa
jesuita-tarefa-x,jesuita-tarefa-x
jesuita-votos,jesuita-votos
jesuita-votos-local,jesuita-votos-local
jesuita-votos-local@wikidata,jesuita-votos-local@wikidata
morte,morte
morte@wikidata,morte@wikidata
nacionalidade,nacionalidade
nacionalidade@wikidata,nacionalidade@wikidata
nascimento,nascimento
nascimento@wikidata,nascimento@wikidata
nome,nome
nome-chines,nome-chines
nome-japones,nome-japones
nota,nota
nota@wikidata,nota@wikidata
note,note
partida,partida
partida-x,partida-x
partida-x@wikidata,partida-x@wikidata
partida@wikidata,partida@wikidata
person:id@bdcconline,person:id@bdcconline
profissao,profissao
pseudonimo,pseudonimo
residencia,residencia
residencia-missao,residencia-missao
residencia-missão,residencia-missão
residencia@wikidata,residencia@wikidata
residência,residência
residência@wikidata,residência@wikidata
tarefa,tarefa
titulo,titulo
todo,todo
trajeto,trajeto
trajeto@wikidata,trajeto@wikidata
wicky,wicky
wicky-viagem,wicky-viagem
